CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
SN7447A             BCD-To-SEVEN-SEGMENT DEC DRV
SN7448              BCD-To-SEVEN-SEGMENT DEC DRV
SN74LS48            BCD-To-SEVEN-SEGMENT DEC DRV
SN74LS49            BCD-To-SEVEN-SEGMENT DEC DRV
SN74LS51            DUAL 2-WIDE 2&3-IN AND-OR-INVERT G
SN74LS54            4-WIDE 2-IN AND-OR-INVERT G
SN74LS57            FREQUENCY DIVIDERS
SN74LS56            FREQUENCY DIVIDERS
SN74LS68            DUAL 4-BIT DECADE OR BINARY CNT
SN74LS69            DUAL 4-BIT DECADE OR BINARY CNT
SN7473              DUAL J-K FF CR
SN74LS73A           DUAL J-K FF CR
SN74LS74A           DUAL D PET FF RS CR
SN7474              DUAL D PET FF RS CR
SN74S74             DUAL D PET FF RS CR
SN74LS75            4-BIT BISTABLE LCH
SN7475              4-BIT BISTABLE LCH
SN74LS76A           DUAL J-K NET FF RS CR
SN74LS78A           DUAL J-K FF RS COM CLK COM CR
SN7483A             4-BIT FULL ADD FC
SN74LS83A           4-BIT FULL ADD FC
SN7485              4-BIT MAGNITUDE COMP
SN74LS85            4-BIT MAGNITUDE COMP
SN74S85             4-BIT MAGNITUDE COMP
SN74LS86A           QUAD 2-IN XOR  G
SN7486              QUAD 2-IN XOR  G
SN74S86             QUAD 2-IN XOR  G
SN74LS90            DECADE DIV-BY-12 BIN CNT
SN7490A             DECADE DIV-BY-12 BIN CNT
SN74LS91            8-BIT SHIFT REG
SN7491A             8-BIT SHIFT REG
SN7492A             DECADE DIV-BY-12 BIN CNT
SN74LS92            DECADE DIV-BY-12 BIN CNT
SN7493A             DECADE DIV-BY-12 BIN CNT
SN74LS93            DECADE DIV-BY-12 BIN CNT
SN7495A             4-BIT PA SHIFT REG
SN74LS95B           4-BIT PA SHIFT REG
SN7496              5-BIT SHIFT REG
SN74LS96            5-BIT SHIFT REG
SN74LS107A          DUAL J-K FF CR
SN74LS109A          DUAL J-K PET FF RS CR
SN74109             DUAL J-K PET FF RS CR
SN74S112A           DUAL J-K NET FF RS CR
SN74LS112A          DUAL J-K NET FF RS CR
SN74S113A           DUAL J-K NET FF RS
SN74LS113A          DUAL J-K NET FF RS
SN74LS114A          DUAL J-K NET FF RS COM CR COM CLK
SN74S114A           DUAL J-K NET FF RS COM CR COM CLK
SN74LS122           RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74122             RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74LS123           RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74123             RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74130             RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74LS125A          QUAD BUS BUF 3SO
SN74LS126A          QUAD BUS BUF 3SO
SN74126             QUAD BUS BUF 3SO
SN74LS126A(1)       QUAD BUS BUF 3SO
SN74LS132           QUAD 2-IN POS NAND SCH
SN74S132            QUAD 2-IN POS NAND SCH
SN74132             QUAD 2-IN POS NAND SCH
SN74LS136           QUAD 2-IN XOR  G OCO
SN74136             QUAD 2-IN XOR  G OCO
SN74LS137           3-8LINE DEC/DEMUL ADDRESS LCH
SN74LS138           3-8LINE DEC/DEMUL
SN74S138A           3-8LINE DEC/DEMUL
SN74LS139A          DUAL 2-4LINE DEC/DEMULT
SN74S139A           DUAL 2-4LINE DEC/DEMULT
SN74145             BCD-To-Decimal DEC DRV
SN74LS145           BCD-To-Decimal DEC DRV
SN74147             10-4 LINE PRIORITY ENC
SN74LS147           10-4 LINE PRIORITY ENC
SN74148             8-3 LINE PRIORITY ENC
SN74LS148           8-3 LINE PRIORITY ENC
SN74151A            DATA SELEC/MUX
SN74LS151           DATA SELEC/MUX
SN74S151            DATA SELEC/MUX
SN74LS153           DUAL 4-1 LINE DATA SELEC/MUX
SN74153             DUAL 4-1 LINE DATA SELEC/MUX
SN74S153            DUAL 4-1 LINE DATA SELEC/MUX
SN74LS155A          DUAL 2-4 LINE DEC/DEMUL
SN74155             DUAL 2-4 LINE DEC/DEMUL
SN74LS156           DUAL 2-4 LINE DEC/DEMUL
SN74156             DUAL 2-4 LINE DEC/DEMUL
SN74157             QUAD 2-1LINE DATA SELEC/MUX
SN74LS157           QUAD 2-1LINE DATA SELEC/MUX
SN74S157            QUAD 2-1LINE DATA SELEC/MUX
SN74LS158           QUAD 2-1LINE DATA SELEC/MUX
SN74S158            QUAD 2-1LINE DATA SELEC/MUX
SN74LS160A          SYN 4-BIT CNT
SN74LS161A          SYN 4-BIT CNT
SN74LS162A          SYN 4-BIT CNT
SN74S162            SYN 4-BIT CNT
SN74LS163A          SYN 4-BIT CNT
SN74S163            SYN 4-BIT CNT
SN74LS164           8-BIT PALL SERI SFT REG
SN74164             8-BIT PALL SERI SFT REG
SN74LS165A          PALL LOAD 8-BIT SFT REG
SN74165             PALL LOAD 8-BIT SFT REG
SN74LS166A          PALL LOAD 8-BIT SFT REG
SN74166             PALL LOAD 8-BIT SFT REG
SN74LS169B          SYN 4-BIT UP/DOWN BIN CNT
SN74S169            SYN 4-BIT UP/DOWN BIN CNT
SN74170             4-4 REG FILES OCO
SN74LS170           4-4 REG FILES OCO
SN74LS171           QUAD D-TYPE FF CR
SN74LS173A          4-BIT D-TYPE REG 3SO
SN74LS174           HEX D-TYPE FF CR
SN74S174            HEX D-TYPE FF CR
SN74174             HEX D-TYPE FF CR
SN74LS175           QUAD D-TYPE FF CR
SN74S175            QUAD D-TYPE FF CR
SN74175             QUAD D-TYPE FF CR
SN74LS181           ALU/FN GNR
SN74S181            ALU/FN GNR
SN74LS183           DUAL CARRY-SAVE FULL ADD
